name,artist,album cover
Numb / Encore,JAY-Z,https://i.scdn.co/image/ab67616d0000b2737282412ad025c14f7039f516
Crawling,Linkin Park,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a
Ex de Verdad - HA-ASH Primera Fila - Hecho Realidad [En Vivo],Ha*Ash,https://i.scdn.co/image/ab67616d0000b273996dd344d4aa79463b40bb8f
Pyramids,Frank Ocean,https://i.scdn.co/image/ab67616d0000b2737aede4855f6d0d738012e2e5
Papercut,Linkin Park,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a
Atrévete-Te-Te,Calle 13,https://i.scdn.co/image/ab67616d0000b273bf3d37f1fd6a7e2cb5fd1487
Fly Away,Lenny Kravitz,https://i.scdn.co/image/ab67616d0000b273f1157b7dcd21bae0c2c75d89
A Place for My Head,Linkin Park,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a
Uptown Girl,Billy Joel,https://i.scdn.co/image/ab67616d0000b273814cbc4746358a25c84c62e7
Amigos No por Favor (Primera Fila) - En Vivo,Yuridia,https://i.scdn.co/image/ab67616d0000b2730c3d70b6333028e6b8c454e6
Sewindu,Tulus,https://i.scdn.co/image/ab67616d0000b2737847ec0808b24c9f57386d88
Swim,Chase Atlantic,https://i.scdn.co/image/ab67616d0000b2735a0c2870f4f309e382d1fad6
Bawalah Cintaku,Afgan,https://i.scdn.co/image/ab67616d0000b273daa3a5d2478cc796925f7c90
Untuk Perempuan Yang Sedang Di Pelukan,Payung Teduh,https://i.scdn.co/image/ab67616d0000b2738ee03809d40edb632fadd3c0
As the World Caves In,Matt Maltese,https://i.scdn.co/image/ab67616d0000b27367d0cba50eae9026b8958755
Pamit,Tulus,https://i.scdn.co/image/ab67616d0000b27371c65edbeed32af70b900637
Because You Move Me,Tinlicker,https://i.scdn.co/image/ab67616d0000b2730812acbf32441f49383dd27c
Kathang Isip,Ben&Ben,https://i.scdn.co/image/ab67616d0000b273bbf886276cd90f8d60b56a01
Monokrom,Tulus,https://i.scdn.co/image/ab67616d0000b27371c65edbeed32af70b900637
J’comprends pas,PNL,https://i.scdn.co/image/ab67616d0000b2732ac57e231c742bda1ef89d3c
